Filename	IOU	F1	Score
5670.png	0.6135	0.7604	68.70
5703.png	0.1647	0.2828	22.37
5724.png	0.3837	0.5546	46.91
5820.png	0.4733	0.6425	55.79
5838.png	0.8846	0.9388	91.17
5998.png	0.4620	0.6320	54.70
6009.png	0.6174	0.7634	69.04
6183.png	0.7681	0.8688	81.85
6427.png	0.0000	0.0000	0.00
6559.png	0.4909	0.6585	57.47
6710.png	0.8163	0.8989	85.76
6737.png	0.6906	0.8170	75.38
6833.png	0.7852	0.8797	83.24
6972.png	0.2147	0.3535	28.41
7140.png	0.6367	0.7780	70.74
0422.png	0.5737	0.7291	65.14
0700.png	0.3849	0.5558	47.03
0804.png	0.2529	0.4037	32.83
0827.png	0.5430	0.7039	62.35
0945.png	0.5898	0.7420	66.59
0950.png	0.2297	0.3736	30.17
1141.png	0.0000	0.0000	0.00
1148.png	0.0000	0.0000	0.00
1196.png	0.0000	0.0000	0.00
1432.png	0.0000	0.0000	0.00
1705.png	0.0000	0.0000	0.00
2807.png	0.3970	0.5684	48.27
3035.png	0.6566	0.7927	72.47
3161.png	0.7409	0.8512	79.61
3302.png	0.7862	0.8803	83.33
3438.png	0.0322	0.0625	4.74
3713.png	0.9134	0.9547	93.41
3802.png	0.4386	0.6097	52.42
3828.png	0.4742	0.6433	55.88
3943.png	0.6081	0.7563	68.22
3960.png	0.6202	0.7656	69.29
3969.png	0.8858	0.9394	91.26
4016.png	0.6819	0.8109	74.64
4189.png	0.7605	0.8640	81.22
4317.png	0.5651	0.7221	64.36
4407.png	0.5585	0.7167	63.76
4553.png	0.4881	0.6560	57.20
4960.png	0.5547	0.7136	63.42
4981.png	0.1908	0.3204	25.56
5006.png	0.6296	0.7727	70.11
5270.png	0.8360	0.9107	87.34
5417.png	0.7129	0.8324	77.26
5421.png	0.0000	0.0000	0.00
5556.png	0.5575	0.7159	63.67
5720.png	0.3313	0.4977	41.45
5735.png	0.6906	0.8170	75.38
5970.png	0.0056	0.0112	0.84
6249.png	0.7659	0.8675	81.67
6282.png	0.6362	0.7777	70.69
6566.png	0.2214	0.3626	29.20
